date,amount,category,description
2024-01-01,6871.09,Expense,Rent payment
2024-01-02,5480.19,Income,Rent payment
2024-01-03,2049.92,Income,Electricity bill
2024-01-04,9013.73,Income,Car maintenance
2024-01-05,-503.89,Income,Health insurance
2024-01-06,204.14,Income,Tuition fees
2024-01-07,3307.93,Expense,Charity donation
2024-01-08,368.81,Income,Advertising fees
2024-01-09,9520.57,Expense,Furniture purchase
2024-01-10,7777.88,Expense,Insurance premium
2024-01-11,1848.81,Income,Garden supplies
2024-01-12,5474.1,Income,Household items
2024-01-13,9805.64,Expense,Concert tickets
2024-01-14,8726.19,Income,Parking fees
2024-01-15,5608.78,Income,Furniture purchase
2024-01-16,8940.96,Expense,Courier service
2024-01-17,9881.03,Expense,Insurance premium
2024-01-18,7176.88,Income,Office supplies
2024-01-19,-285.15,Expense,Concert tickets
2024-01-20,3417.38,Income,Insurance premium
2024-01-21,8216.08,Income,Dining out
2024-01-22,1536.26,Income,Internet bill
2024-01-23,8137.07,Expense,Grocery shopping
2024-01-24,323.73,Expense,Travel expenses
2024-01-25,-483.6,Expense,Freelance project
2024-01-26,3225.0,Expense,Travel expenses
2024-01-27,-595.95,Expense,Insurance premium
2024-01-28,9529.97,Income,Courier service
2024-01-29,8088.26,Income,Home improvement
2024-01-30,7808.47,Income,Childcare fees
2024-01-31,5927.56,Income,Advertising fees
2024-02-01,1379.56,Expense,Parking fees
2024-02-02,4700.86,Income,Holiday expenses
2024-02-03,5570.01,Expense,Book purchase
2024-02-04,4775.35,Income,Charity donation
2024-02-05,1862.57,Expense,Furniture purchase
2024-02-06,4667.73,Expense,Health insurance
2024-02-07,4403.05,Income,Freelance project
2024-02-08,9959.69,Income,Furniture purchase
2024-02-09,8871.8,Income,Advertising fees
2024-02-10,4097.19,Income,Dining out
2024-02-11,5852.31,Expense,Gift purchase
2024-02-12,7226.59,Income,Holiday expenses
2024-02-13,-616.48,Income,Grocery shopping
2024-02-14,8844.14,Expense,Concert tickets
2024-02-15,8461.39,Income,Childcare fees
2024-02-16,4031.75,Income,Parking fees
2024-02-17,3302.87,Income,Parking fees
2024-02-18,2002.55,Income,Taxi fare
2024-02-19,4243.45,Income,Legal fees
2024-02-20,-511.86,Expense,Concert tickets
2024-02-21,8374.13,Income,Freelance project
2024-02-22,-610.35,Income,Medical expenses
2024-02-23,2619.57,Income,Online course
2024-02-24,9247.48,Income,Travel expenses
2024-02-25,7087.34,Income,Beauty products
2024-02-26,2095.3,Expense,Courier service
2024-02-27,1779.14,Income,Rent payment
2024-02-28,-944.1,Expense,Health insurance
2024-02-29,6652.86,Expense,Savings deposit
2024-03-01,-463.38,Income,Advertising fees
2024-03-02,4858.63,Income,Taxi fare
2024-03-03,9583.34,Income,Photography service
2024-03-04,204.16,Income,Legal fees
2024-03-05,8839.28,Expense,Gift purchase
2024-03-06,9906.23,Income,Taxi fare
2024-03-07,-323.31,Income,Home improvement
2024-03-08,8711.97,Income,Beauty products
2024-03-09,4676.87,Income,Subscription service
2024-03-10,8971.65,Income,Software purchase
2024-03-11,5284.51,Income,Insurance premium
2024-03-12,6283.23,Expense,Advertising fees
2024-03-13,4981.57,Expense,Beauty products
2024-03-14,8509.42,Income,Legal fees
2024-03-15,7073.01,Income,Gift purchase
2024-03-16,4733.86,Income,Fitness equipment
2024-03-17,8549.77,Expense,Parking fees
2024-03-18,1698.14,Income,Consultation fees
2024-03-19,730.75,Expense,Dining out
2024-03-20,764.4,Income,Freelance project
2024-03-21,2674.1,Income,Office supplies
2024-03-22,1625.59,Income,Health insurance
2024-03-23,9230.99,Income,Tuition fees
2024-03-24,164.18,Expense,Workshop fees
2024-03-25,6688.9,Expense,Coffee shop
2024-03-26,1081.44,Income,Childcare fees
2024-03-27,8698.01,Income,Entertainment
2024-03-28,9574.47,Expense,Furniture purchase
2024-03-29,4120.17,Expense,Investment return
2024-03-30,8669.79,Expense,Beauty products
2024-03-31,-943.4,Expense,Loan repayment
2024-04-01,8019.42,Income,Internet bill
2024-04-02,1514.88,Expense,Online course
2024-04-03,8995.71,Income,Savings deposit
2024-04-04,-987.68,Expense,Salary payment
2024-04-05,5118.0,Expense,Photography service
2024-04-06,7322.99,Expense,Office supplies
2024-04-07,1845.57,Expense,Phone bill
2024-04-08,1124.46,Expense,Taxi fare
2024-04-09,-74.92,Income,Photography service
2024-04-10,2590.77,Income,Parking fees
2024-04-11,5158.29,Expense,Savings deposit
2024-04-12,274.28,Expense,Salary payment
2024-04-13,3143.65,Income,Beauty products
2024-04-14,-900.2,Expense,Charity donation
2024-04-15,8005.47,Expense,Phone bill
2024-04-16,412.94,Income,Advertising fees
2024-04-17,2116.77,Expense,Entertainment
2024-04-18,-797.3,Expense,Entertainment
2024-04-19,3754.65,Income,Travel expenses
2024-04-20,8241.34,Income,Taxi fare
2024-04-21,3313.66,Income,Loan repayment
2024-04-22,974.47,Expense,Fuel expenses
2024-04-23,7290.69,Income,Software purchase
2024-04-24,7676.88,Income,Taxi fare
2024-04-25,911.29,Income,Online course
2024-04-26,7479.4,Income,Courier service
2024-04-27,9420.28,Income,Grocery shopping
2024-04-28,830.15,Income,Car maintenance
2024-04-29,7480.83,Expense,Subscription service
2024-04-30,6794.29,Expense,Concert tickets
2024-05-01,4209.31,Income,Cleaning service
2024-05-02,-362.87,Income,Concert tickets
2024-05-03,-178.36,Income,Gym membership
2024-05-04,8376.56,Expense,Legal fees
2024-05-05,9891.63,Expense,Fitness equipment
2024-05-06,6436.57,Expense,Book purchase
2024-05-07,3905.54,Expense,Software purchase
2024-05-08,6123.31,Expense,Car maintenance
2024-05-09,5538.35,Expense,Rent payment
2024-05-10,3219.73,Expense,Book purchase
2024-05-11,-278.11,Expense,Insurance premium
2024-05-12,8036.64,Expense,Workshop fees
2024-05-13,3090.17,Income,Furniture purchase
2024-05-14,8006.64,Income,Legal fees
2024-05-15,1777.6,Income,Internet bill
2024-05-16,-988.68,Income,Taxi fare
2024-05-17,748.32,Expense,Coffee shop
2024-05-18,4153.93,Expense,Art supplies
2024-05-19,9387.34,Income,Phone bill
2024-05-20,124.13,Expense,Workshop fees
2024-05-21,8396.31,Income,Car maintenance
2024-05-22,4797.27,Expense,Gym membership
2024-05-23,8085.13,Income,Medical expenses
2024-05-24,2282.12,Expense,Loan repayment
2024-05-25,8239.42,Expense,Workshop fees
2024-05-26,7501.05,Income,Medical expenses
2024-05-27,1530.59,Expense,Internet bill
2024-05-28,444.69,Income,Coffee shop
2024-05-29,8548.6,Income,Beauty products
2024-05-30,9595.6,Income,Workshop fees
2024-05-31,-655.67,Income,Car maintenance
2024-06-01,7043.97,Expense,Salary payment
2024-06-02,9004.77,Expense,Movie tickets
2024-06-03,8430.96,Expense,Home improvement
2024-06-04,9609.73,Income,Garden supplies
2024-06-05,7361.03,Expense,Savings deposit
2024-06-06,3865.29,Income,Clothing purchase
2024-06-07,2431.47,Expense,Movie tickets
2024-06-08,2528.17,Expense,Garden supplies
2024-06-09,6968.65,Expense,Furniture purchase
2024-06-10,7204.21,Income,Workshop fees
2024-06-11,1203.95,Expense,Holiday expenses
2024-06-12,8549.35,Expense,Furniture purchase
2024-06-13,6864.16,Income,Garden supplies
2024-06-14,5190.25,Expense,Pet care
2024-06-15,4186.86,Income,Beauty products
2024-06-16,4975.56,Expense,Clothing purchase
2024-06-17,751.7,Income,Subscription service
2024-06-18,1240.71,Income,Salary payment
2024-06-19,2.81,Expense,Investment return
2024-06-20,690.24,Income,Advertising fees
2024-06-21,3990.63,Income,Art supplies
2024-06-22,4833.9,Income,Grocery shopping
2024-06-23,-803.52,Income,Coffee shop
2024-06-24,7764.78,Income,Workshop fees
2024-06-25,2235.85,Income,Art supplies
2024-06-26,9030.2,Expense,Garden supplies
2024-06-27,9642.62,Income,Courier service
2024-06-28,1040.05,Income,Dining out
2024-06-29,4083.07,Expense,Salary payment
2024-06-30,-986.45,Expense,Health insurance
2024-07-01,5581.6,Expense,Furniture purchase
2024-07-02,5680.37,Expense,Household items
2024-07-03,1722.94,Expense,Electricity bill
2024-07-04,5142.54,Expense,Movie tickets
2024-07-05,1480.94,Expense,Travel expenses
2024-07-06,769.08,Income,Travel expenses
2024-07-07,6166.71,Income,Clothing purchase
2024-07-08,2585.18,Expense,Photography service
2024-07-09,5492.9,Income,Cleaning service
2024-07-10,3765.71,Income,Insurance premium
2024-07-11,9827.87,Income,Savings deposit
2024-07-12,645.39,Expense,Coffee shop
2024-07-13,4110.58,Expense,Movie tickets
2024-07-14,6485.02,Income,Art supplies
2024-07-15,3351.0,Expense,Car maintenance
2024-07-16,9721.7,Income,Furniture purchase
2024-07-17,6940.76,Income,Health insurance
2024-07-18,6226.82,Income,Salary payment
2024-07-19,7327.65,Income,Electricity bill
2024-07-20,9479.14,Expense,Book purchase
2024-07-21,8986.01,Expense,Savings deposit
2024-07-22,6967.14,Expense,Health insurance
2024-07-23,7240.78,Income,Advertising fees
2024-07-24,605.14,Expense,Office supplies
2024-07-25,130.72,Income,Electricity bill
2024-07-26,5279.95,Expense,Insurance premium
2024-07-27,-797.96,Income,Coffee shop
2024-07-28,4305.92,Income,Advertising fees
2024-07-29,1313.85,Income,Health insurance
2024-07-30,2806.18,Expense,Cleaning service
2024-07-31,7533.85,Expense,Fuel expenses
2024-08-01,9353.61,Expense,Movie tickets
2024-08-02,-203.42,Expense,Book purchase
2024-08-03,4876.66,Income,Investment return
2024-08-04,8707.87,Expense,Movie tickets
2024-08-05,-92.41,Expense,Photography service
2024-08-06,8069.65,Income,Legal fees
2024-08-07,2935.81,Income,Pet care
2024-08-08,2543.04,Income,Dining out
2024-08-09,9752.13,Expense,Office supplies
2024-08-10,1209.45,Income,Phone bill
2024-08-11,6625.13,Income,Investment return
2024-08-12,8035.85,Income,Childcare fees
2024-08-13,-546.98,Expense,Consultation fees
2024-08-14,6374.24,Income,Subscription service
2024-08-15,9467.05,Expense,Car maintenance
2024-08-16,366.42,Expense,Travel expenses
2024-08-17,8858.43,Income,Car maintenance
2024-08-18,5542.54,Income,Insurance premium
2024-08-19,5782.65,Expense,Savings deposit
2024-08-20,5742.39,Income,Phone bill
2024-08-21,2287.19,Income,Clothing purchase
2024-08-22,9287.22,Expense,Consultation fees
2024-08-23,9420.86,Expense,Clothing purchase
2024-08-24,5878.35,Income,Parking fees
2024-08-25,7617.65,Expense,Furniture purchase
2024-08-26,5734.84,Income,Subscription service
2024-08-27,4328.38,Income,Grocery shopping
2024-08-28,6269.02,Income,Salary payment
2024-08-29,5083.02,Expense,Advertising fees
2024-08-30,5572.23,Income,Freelance project
2024-08-31,7622.16,Income,Medical expenses
2024-09-01,4289.94,Income,Online course
2024-09-02,-551.7,Expense,Tuition fees
2024-09-03,803.99,Expense,Grocery shopping
2024-09-04,3824.68,Expense,Electricity bill
2024-09-05,6973.09,Expense,Savings deposit
2024-09-06,5526.07,Expense,Gift purchase
2024-09-07,6153.24,Income,Medical expenses
2024-09-08,4272.07,Expense,Freelance project
2024-09-09,5773.16,Expense,Office supplies
2024-09-10,2619.19,Expense,Courier service
2024-09-11,4172.01,Income,Garden supplies
2024-09-12,7187.07,Expense,Entertainment
2024-09-13,8590.16,Expense,Cleaning service
2024-09-14,3770.21,Income,Fitness equipment
2024-09-15,-519.72,Expense,Fuel expenses
2024-09-16,778.4,Income,Internet bill
2024-09-17,-770.53,Income,Fitness equipment
2024-09-18,6185.89,Income,Book purchase
2024-09-19,2655.46,Income,Gym membership
2024-09-20,4967.26,Income,Travel expenses
2024-09-21,4426.05,Expense,Garden supplies
2024-09-22,-103.21,Income,Photography service
2024-09-23,3435.87,Income,Savings deposit
2024-09-24,1426.17,Expense,Movie tickets
2024-09-25,3602.4,Income,Gym membership
2024-09-26,1239.36,Expense,Art supplies
2024-09-27,8244.98,Expense,Gym membership
2024-09-28,916.13,Expense,Investment return
2024-09-29,9568.59,Income,Entertainment
2024-09-30,3574.98,Income,Beauty products
2024-10-01,8308.7,Income,Grocery shopping
2024-10-02,5916.41,Expense,Holiday expenses
2024-10-03,7088.85,Income,Software purchase
2024-10-04,7444.96,Income,Household items
2024-10-05,4553.29,Income,Entertainment
2024-10-06,4976.31,Expense,Internet bill
2024-10-07,4653.95,Expense,Legal fees
2024-10-08,5468.64,Income,Photography service
2024-10-09,-676.66,Income,Dining out
2024-10-10,3350.67,Income,Taxi fare
2024-10-11,5668.08,Income,Furniture purchase
2024-10-12,5574.96,Expense,Holiday expenses
2024-10-13,7722.52,Expense,Cleaning service
2024-10-14,6205.1,Expense,Savings deposit
2024-10-15,9913.47,Expense,Office supplies
2024-10-16,2122.4,Income,Online course
2024-10-17,2950.66,Income,Rent payment
2024-10-18,3222.32,Income,Subscription service
2024-10-19,4123.94,Expense,Phone bill
2024-10-20,8195.98,Income,Tuition fees
2024-10-21,1593.71,Expense,Parking fees
2024-10-22,7536.0,Expense,Loan repayment
2024-10-23,3458.41,Income,Courier service
2024-10-24,5620.41,Income,Cleaning service
2024-10-25,5957.95,Income,Gym membership
2024-10-26,3101.34,Expense,Office supplies
2024-10-27,4638.77,Income,Software purchase
2024-10-28,3543.34,Expense,Courier service
2024-10-29,-239.54,Income,Gift purchase
2024-10-30,3808.82,Expense,Savings deposit
2024-10-31,71.33,Expense,Tuition fees
2024-11-01,3455.23,Income,Internet bill
2024-11-02,5522.1,Expense,Phone bill
2024-11-03,5373.56,Expense,Concert tickets
2024-11-04,6288.83,Income,Childcare fees
2024-11-05,47.88,Expense,Rent payment
2024-11-06,6173.36,Income,Concert tickets
2024-11-07,2433.63,Expense,Beauty products
2024-11-08,3389.51,Income,Cleaning service
2024-11-09,8437.85,Income,Gift purchase
2024-11-10,-900.67,Expense,Holiday expenses
2024-11-11,5472.54,Expense,Car maintenance
2024-11-12,5585.85,Expense,Travel expenses
2024-11-13,3363.26,Expense,Holiday expenses
2024-11-14,1607.31,Expense,Gym membership
2024-11-15,1581.41,Income,Taxi fare
2024-11-16,8720.81,Expense,Phone bill
2024-11-17,3862.27,Income,Coffee shop
2024-11-18,2639.78,Income,Photography service
2024-11-19,3936.55,Expense,Grocery shopping
2024-11-20,6363.29,Income,Legal fees
2024-11-21,603.32,Income,Salary payment
2024-11-22,3943.77,Income,Parking fees
2024-11-23,5466.73,Income,Taxi fare
2024-11-24,9434.42,Expense,Furniture purchase
2024-11-25,1777.81,Income,Phone bill
2024-11-26,2951.76,Expense,Online course
2024-11-27,3172.94,Expense,Beauty products
2024-11-28,5660.92,Income,Online course
2024-11-29,2924.05,Expense,Parking fees
2024-11-30,4868.63,Expense,Workshop fees
2024-12-01,7599.69,Expense,Household items
2024-12-02,6759.24,Income,Beauty products
2024-12-03,3910.06,Expense,Fuel expenses
2024-12-04,8506.38,Expense,Cleaning service
2024-12-05,5139.54,Expense,Advertising fees
2024-12-06,4938.96,Income,Book purchase
2024-12-07,-623.93,Expense,Internet bill
2024-12-08,9853.62,Income,Freelance project
2024-12-09,352.68,Income,Insurance premium
2024-12-10,1542.44,Income,Parking fees
2024-12-11,-431.33,Income,Advertising fees
2024-12-12,6040.03,Income,Medical expenses
2024-12-13,1471.71,Income,Clothing purchase
2024-12-14,980.11,Expense,Fuel expenses
2024-12-15,-25.89,Income,Legal fees
2024-12-16,136.4,Expense,Gym membership
2024-12-17,5431.38,Expense,Holiday expenses
2024-12-18,6570.29,Income,Legal fees
2024-12-19,3371.17,Expense,Cleaning service
2024-12-20,4278.87,Expense,Entertainment
2024-12-21,6545.65,Expense,Taxi fare
2024-12-22,-808.82,Expense,Grocery shopping
2024-12-23,2554.44,Income,Entertainment
2024-12-24,9704.08,Expense,Entertainment
2024-12-25,5381.23,Income,Beauty products
2024-12-26,1796.47,Expense,Gym membership
2024-12-27,4739.03,Expense,Salary payment
2024-12-28,2769.19,Income,Software purchase
2024-12-29,4854.69,Expense,Legal fees
2024-12-30,383.16,Expense,Beauty products
2024-12-31,459.86,Expense,Tuition fees
2025-01-01,578.97,Income,Software purchase
2025-01-02,9338.02,Expense,Household items
2025-01-03,7061.89,Income,Fuel expenses
2025-01-04,786.2,Expense,Electricity bill
2025-01-05,1071.84,Income,Art supplies
2025-01-06,7039.12,Income,Office supplies
2025-01-07,717.8,Expense,Fitness equipment
2025-01-08,1580.17,Expense,Fitness equipment
2025-01-09,9596.82,Income,Garden supplies
2025-01-10,1808.37,Income,Courier service
2025-01-11,6277.96,Expense,Cleaning service
2025-01-12,9764.94,Income,Gift purchase
2025-01-13,3117.26,Expense,Clothing purchase
2025-01-14,-807.32,Expense,Office supplies
2025-01-15,1685.62,Expense,Fitness equipment
2025-01-16,8139.65,Expense,Workshop fees
2025-01-17,8510.7,Income,Gym membership
2025-01-18,7453.71,Expense,Travel expenses
2025-01-19,244.21,Income,Workshop fees
2025-01-20,7750.61,Expense,Advertising fees
2025-01-21,9105.46,Income,Gift purchase
2025-01-22,5606.7,Expense,Pet care
2025-01-23,9349.63,Income,Book purchase
2025-01-24,8095.23,Income,Clothing purchase
2025-01-25,6336.69,Expense,Health insurance
2025-01-26,5349.04,Expense,Childcare fees
2025-01-27,2834.31,Expense,Phone bill
2025-01-28,752.16,Expense,Gym membership
2025-01-29,5654.49,Income,Savings deposit
2025-01-30,2499.23,Expense,Office supplies
2025-01-31,8530.83,Income,Pet care
2025-02-01,9926.71,Income,Rent payment
2025-02-02,7276.71,Expense,Health insurance
2025-02-03,-4.7,Income,Software purchase
2025-02-04,2175.54,Income,Subscription service
2025-02-05,200.21,Income,Software purchase
2025-02-06,6155.63,Income,Gift purchase
2025-02-07,7417.1,Expense,Charity donation
2025-02-08,9182.42,Expense,Taxi fare
2025-02-09,3819.9,Expense,Loan repayment
2025-02-10,8915.13,Expense,Holiday expenses
2025-02-11,8656.8,Income,Taxi fare
2025-02-12,2489.15,Income,Advertising fees
2025-02-13,8557.91,Expense,Movie tickets
2025-02-14,3132.39,Expense,Travel expenses
2025-02-15,2265.56,Expense,Pet care
2025-02-16,6139.82,Income,Car maintenance
2025-02-17,2612.19,Expense,Gym membership
2025-02-18,5932.3,Expense,Savings deposit
2025-02-19,5708.15,Expense,Taxi fare
2025-02-20,5197.83,Income,Phone bill
2025-02-21,3184.62,Income,Internet bill
2025-02-22,5033.5,Income,Car maintenance
2025-02-23,5561.34,Income,Investment return
2025-02-24,5002.56,Income,Charity donation
2025-02-25,3888.61,Income,Car maintenance
2025-02-26,-838.66,Income,Entertainment
2025-02-27,5457.68,Income,Consultation fees
2025-02-28,852.89,Expense,Health insurance
2025-03-01,6068.34,Expense,Art supplies
2025-03-02,7352.79,Income,Savings deposit
2025-03-03,4504.9,Income,Furniture purchase
2025-03-04,4966.0,Expense,Subscription service
2025-03-05,9466.26,Income,Childcare fees
2025-03-06,8318.84,Income,Garden supplies
2025-03-07,9056.6,Income,Household items
2025-03-08,7951.43,Expense,Fuel expenses
2025-03-09,198.1,Expense,Subscription service
2025-03-10,638.91,Expense,Tuition fees
2025-03-11,4792.86,Expense,Household items
2025-03-12,1706.77,Expense,Gym membership
2025-03-13,4243.65,Income,Investment return
2025-03-14,3338.02,Expense,Childcare fees
2025-03-15,5043.56,Income,Book purchase
2025-03-16,7215.63,Income,Fuel expenses
2025-03-17,6870.4,Expense,Fitness equipment
2025-03-18,4733.58,Expense,Holiday expenses
2025-03-19,8046.33,Income,Cleaning service
2025-03-20,3739.48,Income,Electricity bill
2025-03-21,8863.86,Income,Office supplies
2025-03-22,-215.92,Expense,Legal fees
2025-03-23,9501.26,Expense,Beauty products
2025-03-24,6201.62,Expense,Taxi fare
2025-03-25,3180.82,Expense,Savings deposit
2025-03-26,1168.7,Expense,Fitness equipment
2025-03-27,4271.02,Income,Household items
2025-03-28,1140.14,Expense,Charity donation
2025-03-29,829.65,Income,Workshop fees
2025-03-30,5790.87,Income,Dining out
2025-03-31,4753.93,Income,Furniture purchase
2025-04-01,6371.06,Expense,Internet bill
2025-04-02,9225.66,Expense,Software purchase
2025-04-03,4854.86,Expense,Home improvement
2025-04-04,5390.25,Income,Subscription service
2025-04-05,-14.11,Income,Insurance premium
2025-04-06,6893.99,Income,Pet care
2025-04-07,3398.96,Income,Holiday expenses
2025-04-08,9743.98,Income,Tuition fees
2025-04-09,8054.91,Income,Fitness equipment
2025-04-10,4747.29,Expense,Grocery shopping
2025-04-11,355.45,Expense,Fuel expenses
2025-04-12,8453.57,Expense,Tuition fees
2025-04-13,7797.59,Expense,Cleaning service
2025-04-14,1030.44,Income,Garden supplies
2025-04-15,2248.06,Income,Home improvement
2025-04-16,7727.48,Expense,Home improvement
2025-04-17,1037.51,Income,Subscription service
2025-04-18,9095.28,Expense,Movie tickets
2025-04-19,3669.8,Expense,Movie tickets
2025-04-20,-42.57,Expense,Fuel expenses
2025-04-21,7973.24,Income,Household items
2025-04-22,3108.61,Expense,Photography service
2025-04-23,4791.49,Expense,Furniture purchase
2025-04-24,235.35,Expense,Workshop fees
2025-04-25,-971.58,Income,Furniture purchase
2025-04-26,6017.84,Income,Fitness equipment
2025-04-27,4666.93,Expense,Pet care
2025-04-28,5528.92,Income,Fitness equipment
2025-04-29,7731.18,Income,Advertising fees
2025-04-30,6112.67,Income,Travel expenses
2025-05-01,922.51,Income,Garden supplies
2025-05-02,2968.5,Income,Software purchase
2025-05-03,8964.8,Income,Household items
2025-05-04,7469.39,Income,Medical expenses
2025-05-05,5123.01,Income,Freelance project
2025-05-06,1812.09,Income,Salary payment
2025-05-07,2322.67,Income,Garden supplies
2025-05-08,7051.54,Expense,Workshop fees
2025-05-09,8362.92,Expense,Electricity bill
2025-05-10,6385.67,Income,Holiday expenses
2025-05-11,7904.83,Expense,Investment return
2025-05-12,7433.22,Expense,Garden supplies
2025-05-13,646.74,Income,Art supplies
2025-05-14,3663.39,Income,Dining out
2024-07-18,6987.1,Expense,Game
2000-06-15,20000.0,Income,Test description
